    400.00000   1.378170469E-004
    412.50000   3.048780958E-004
    442.50000   1.645714060E-003
    490.00000   8.935947110E-003
    510.00000   1.750535146E-002
    560.00000   4.347104369E-002
    620.00000   4.487130794E-002
    665.00000   2.101591797E-002
    673.75000   1.716230955E-002
    681.25000   1.466298300E-002
    708.75000   7.983028470E-003
    753.75000   3.879744653E-003
    761.25000   2.923775641E-003
    764.37500   2.792211429E-003
    767.50000   2.729651478E-003
    778.75000   3.255969698E-003
    865.00000   8.956858078E-004
    885.00000   5.188799343E-004
    900.00000   6.715773241E-004
    940.00000   3.127781417E-004
   1020.00000   1.408798425E-005
